discount_rate,avg_deforestation,avg_reforestation,initial_deforestation,initial_reforestation,final_forest,pv
1.0,6.949972266934906e-08,136283.8144058765,9.115255512407728e-10,746687.1446261214,9500741.513989288,45575597487.620605
2.0,8.082833399461373e-06,144982.9535853475,5.492124775261836e-06,985108.7891117308,9490369.31055751,29546906396.064095
3.0,0.0,142154.3587365436,0.0,1007579.26922991,9454704.74792729,23064689396.02861
4.0,0.006268498571386704,89514.38103299378,0.046472247773162466,919681.0126731343,8937436.308812749,19448480449.212223
5.0,1.1979901650327205e-06,83451.13888624191,0.0,909920.4704336195,8875328.475877246,16873606035.555082
