carbon_price,avg_deforestation,avg_reforestation,initial_deforestation,initial_reforestation,final_forest,pv
10,0.0004774306533690556,4572.724254380371,0.0005790038090662167,62917.3375901896,8017087.017749165,20590042065.51346
15,0.001712101438547994,47046.32701030945,9.251694909965788e-12,732019.6175842471,8500938.050586063,21869904030.080154
20,0.0006820984225077786,52668.93394987674,1.4694387238228538e-07,797751.4676711144,8559970.211932017,23076720847.867924
25,1.9508757702738308e-10,53265.26435033362,9.837940871793171e-11,806734.6240309366,8565787.207723476,24273636370.747322
30,0.0,128506.4548173274,0.0,1178997.0181966997,9383706.061063044,25676502974.440598
35,0.0,139668.53953997255,0.0,1312845.6220836015,9498839.917285666,27034652904.813095
40,1.0521297516141368e-05,140771.52459870285,1.4155202953656601e-05,1325144.0464912404,9500027.320140485,28376403797.35009
45,0.0005838865752638474,141075.77012138278,0.0,1332314.7654526492,9499990.598242898,29713668467.198807
50,0.0014324063461406814,141976.12206429633,0.0030402790491411416,1348643.654384339,9500576.033346014,31055400106.223293
